provider_name,eik,municipality,settlement,address,social_service,target_group,license_number,license_validity,license_modified_number,license_modified_validity,license_renewed_number,license_renewed_validity,violations
"ФОНДАЦИЯ ""РЕСУРСЕН ЦЕНТЪР БИЛИТИС""",131221510,Столична,гр. София,"р-н Младост, ж.к. ""Младост"" 2, бл. 243, вх. А, ет. 5, ап. 17",Информиране и консултиране,"Деца от 14 до 18-годишна възраст, родители и преподаватели- потребители- на дигитална платформа Live Without Bullying за превенция и превенция и преодоляване на проблеми и затруднения, свързани с училищиния и кибер тормоз",Л-3129-409/22.07.2021 г.; Л-3129-1998/15.10.2024 г.,21.07.2026 г.,,,,,
"""ХОУМ ХОУП"" ЕООД",201737123,Столична,гр. София,"ж.к. ""Надежда"" 4, бл. 419, вх. В, ет. 3, ап. 21",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-410/22.07.2021 г.,21.07.2026 г.,,,,,
"СДРУЖЕНИЕ ""БЪЛГАРСКИ ЧЕРВЕН КРЪСТ""",000703415,Столична,гр. София,"ул. ""Джеймс Баучер"" № 76",Общностна работа; Обучение за придобиване на умения; Резидентна грижа; Застъпничество и посредничество; Информиране и консултиране; Терапия и рехабилитация; Асистентска подкрепа; Осигуряване на подслон,"Всички деца; Деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства",Л-3129-411/27.07.2021 г.; Л-3129-412/27.07.2021 г.; Л-3129-413/27.07.2021 г.; Л-3129-414/27.07.2021 г.; Л-3129-415/27.07.2021 г.; Л-3129-416/27.07.2021 г.; Л-3129-471/17.08.2021 г.; Л-3129-472/17.08.2021 г.; Л-3129-473/17.08.2021 г.; Л-3129-474/17.08.2021 г.; Л-3129-475/17.08.2021 г.; Л-3129-788/22.11.2021 г.; Л-3129-789/22.11.2021 г.; Л-3129-790/22.11.2021 г.; Л-3129-1206/26.05.2022 г.,26.07.2026 г.,,,,,
"ФОНДАЦИЯ ""НЕТ""",104702120,Пазарджик,гр. Пазарджик,"ул. ""Найден Геров"" № 7А, ет. 3, ап. 5",Терапия и рехабилитация; Резидентна грижа,Пълнолетни лица с трайни увреждания (умствена изостаналост),Л-3129-422/02.08.2021 г.; Л-3129-1601/15.05.2023 г.,01.08.2026 г.,ЛПО-1-3129-422/18.04.2024 г.,01.08.2026 г.,,,
"""ЕЛПИДА 2006"" ООД",160044123,Пловдив,гр. Пловдив,"район ""Централен"", ул. ""Леонадро Да Винчи"" № 74",Асистентска подкрепа; Резидентна грижа,"Лица в надтрудоспособна възраст, които са в невъзможност да посрещат ежедневните си нужди от самообслужване, които нямат по съответния ред степен на намалена работоспособност",Л-3129-423/03.08.2021 г.; Л-3129-424/02.08.2021 г.,02.08.2026 г.,,,,,
"ФОНДАЦИЯ ""ВЛАДИСЛАВОВО""",103196110,Варна,гр. Варна,"р-н ""Аспарухово"", ул. ""Народни будители"" № 5, ет. 2",Общностна работа; Застъпничество и посредничество; Обучение за придобиване на умения; Терапия и рехабилитация; Информиране и консултиране,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; деца и пълнолетни лица с увреждания;родители, осиновители, кандидати за осиновители и кандидати за приемни семейства; пълнолетни лица в кризистна ситуация или с потребност за преодоляване на последици от такава ситуация; уязвими общности или групи; техните семейства и близки",Л-3129-427/05.08.2021 г.; Л-3129-428/05.08.2021 г.; Л-3129-429/05.08.2021 г.; Л-3129-430/05.08.2021 г.; Л-3129-431/05.08.2021 г.,04.08.2026 г.,ЛПО-1-3129-427/29.01.2025 г.,04.08.2026 г.,,,
"СДРУЖЕНИЕ ""АЛТЕРНАТИВИ 2017""",177149851,Стражица,гр. Стражица,"ул. ""Сава Цонев"" № 34 Б",Асистентска подкрепа; Общностна работа; Информиране и консултиране,"Лица в надтрудоспособна възраст с невъзможност за самообслужване, които нямат опеределена по съответния ред степен на намалена работоспособност",Л-3129-432/05.08.2021 г.; Л-3129-433/05.08.2021 г.; Л-3129-434/05.08.2021 г.,04.08.2026 г.,,,,,
"""А ПЛЮС ХЕЛТ"" ООД",206468404,София,гр. София,"бул. ""Симеоновско шосе"" № 330",Дневна грижа; Терапия и рехабилитация; Обучение за придобиване на умения,Деца с трайни увреждания от аутистичния спектър,Л-3129-444/06.08.2021 г.; Л-3129-445/06.08.2021 г.; Л-3129-446/06.08.2021 г.,05.08.2026 г.,,,,,
"""ЖАН ГАЛЕН"" ЕООД",206533352,Варна,гр. Варна,"ж.к.с.о. ""Ален Мак"" 3443",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-447/09.08.2021 г.,08.08.2026 г.,,,,,
"ФОНДАЦИЯ ""ЗА НАШИТЕ ДЕЦА""",131327481,Столична,гр. София,"район ""Сердика"", ул. ""Гюешево"" № 21",Информиране и консултиране; Застъпничество и посредничество; Общностна работа; Терапия и рехабилитация; Обучение за придобиване на умения; Дневна грижа; Резидентна грижа; Подкрепа за придобиване на трудови умения,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; деца с увреждания;родители, осиновители, кандидати за осиновители и кандидати за приемни семейства; пълнолетни лица в кризистна ситуация или с потребност за преодоляване на последици от такава ситуация; техните семейства и близки",Л-3129-453/11.08.2021 г.; Л-3129-454/11.08.2021 г.; Л-3129-455/11.08.2021 г.; Л-3129-456/11.08.2021 г.; Л-3129-457/11.08.2021 г.; Л-3129-458/11.08.2021 г.; Л-3129-459/11.08.2021 г.; Л-3129-2090/30.05.2025 г.,10.08.2026 г.,,,,,
"""ЦЕНТЪР ЗА ПСИХИЧНО ЗДРАВЕ Д-Р ПЕТЪР СТАНЧЕВ- ДОБРИЧ"" ЕООД",000851111,Добрич,гр. Добрич,"ул. ""Панайот Хитов"" № 24",Информиране и консултиране; Застъпничество и посредничество; Терапия и рехабилитация; Обучение за придобиване на умения; Подкрепа за придобиване на трудови умения; Дневна грижа,Пълнолетни лица с увреждания,Л-3129-464/17.08.2021 г.; Л-3129-465/17.08.2021 г.; Л-3129-466/17.08.2021 г.; Л-3129-467/17.08.2021 г.; Л-3129-468/17.08.2021 г.; Л-3129-469/17.08.2021 г.; Л-3129-470/17.08.2021 г.,16.08.2026 г.,,,,,
"ФОНДАЦИЯ ""ИНСТИТУТ ЗА СОЦИАЛНА ПОЛИТИКА И СОЦИАЛНА РАБОТА""",130504377,Столична,гр. София,"ул. ""Раковски"" № 160, ет. 1, ап. 7",Терапия и рехабилитация; Информиране и консултиране; Застъпничество и посредничество; Подкрепа за придобиване на трудови умения; Обучение за придобиване на умения,Деца с увреждания,Л-3129-476/17.08.2021 г.; Л-3129-1647/28.06.2023 г.; Л-3129-1648/28.06.2023 г.; Л-3129-1649/28.06.2023 г.; Л-3129-1650/28.06.2023 г.,16.08.2026 г.,,,,,
"""ИРЕН -2021"" ЕООД",206496570,Враца,гр. Враца,"ж.к. ""Дъбника"", бл. 27, вх. Б, ет. 4, ап. 34",Асистентска подкрепа,"Лица в надтрудоспособна възраст с невъзможност за самообслужване, които нямат опеределена по съответния ред степен на намалена работоспособност",Л-3129-477/18.08.2021 г.,17.08.2026 г.,,,,,
"СДРУЖЕНИЕ ""НОВ ИЗБОР""",104641508,Кресна,гр. Кресна,"ул. ""Македония"" № 96",Информиране и консултиране; Застъпничество и посредничество; Обучение за придобиване на умения; Терапия и рехабилитация; Общностна работа; Подкрепа за придобиване на трудови умения,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; кандидати за приемни семейства и кандидати за осиновители; деца и пълнолетни лица с увреждания; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; възрастни хора в надтрудоспособна възраст; лица, които полагат грижи за пълнолетни лица",Л-3129-478/19.08.2021 г.; Л-3129-479/19.08.2021 г.; Л-3129-480/19.08.2021 г.; Л-3129-493/26.08.2021 г.; Л-3129-1307/13.10.2022 г.; Л-3129-1308/13.10.2022 г.,18.08.2026 г.,ЛПО-1-3129-478/02.07.2025 г.,18.08.2026 г.,,,
"ФОНДАЦИЯ ""ЗВЕЗДА НА НАДЕЖДАТА""",130138150,Столична,гр. София,"р-н ""Средец"", ул. ""Карнеги"" № 20",Информиране и консултиране; Застъпничество и посредничество; Общностна работа; Терапия и рехабилитация; Обучение за придобиване на умения; Резидентна грижа,Деца и пълнолетни лица с увреждания; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация,Л-3129-481/20.08.2021 г.; Л-3129-482/20.08.2021 г.; Л-3129-483/20.08.2021 г.; Л-3129-484/20.08.2021 г.; Л-3129-485/20.08.2021 г.; Л-3129-486/20.08.2021 г.,19.08.2026 г.,ЛПО-1-3129-481/10.04.2023,19.08.2026 г.,,,
"СДРУЖЕНИЕ ""АЛТЕРИНИ КОНСУЛТ""",206537863,Русе,гр. Русе,"ул. ""Луи Айер"" № 12, вх. 1, ет. 3",Информиране и консултиране,Пълнолетни лица в кризисна ситуация и или с потребност за преодоляване на последици от такава ситуация; пълнолетни лица с увреждания; възрастни хора в надтрудоспособна възраст; техните семейства и близки,Л-3129-487/24.08.2021 г.,23.08.2026 г.,,,,,
"""ЮЛИЯ КАЧАКОВА"" ЕООД",119671060,Нова Загора,с. Каменово,,Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-490/24.08.2021 г.,23.08.2026 г.,ЛПО-1-3129-490/10.07.2025 г.,23.08.2026 г.,,,
"""ХУМАННОСТ И ДЪЛГОЛЕТИЕ"" ООД",202423435,Столична,гр. София,"р-н ""Красно село"", ж.к. ""Хиподрума"", бул. ""Цар Борис III"" № 93-95, ет. 1, ап. 1",Информиране и консултиране; Терапия и рехабилитация; Застъпничество и посредничество; Асистентска подкрепа; Обучение за придобиване на умения; Резидентна грижа,Всички деца; деца в риск по смисъла на Закона за закрила на детето; деца и пълнолетни лица с увреждания; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; техните семейства и близки,Л-3129-494/26.08.2021 г.; Л-3129-495/26.08.2021 г.; Л-3129-496/26.08.2021 г.; Л-3129-497/26.08.2021 г.; Л-3129-498/26.08.2021 г.; Л-3129-581/23.09.2021 г.; Л-3129-582/23.09.2021 г.,25.08.2026 г.,,,,,
"""ТЕРАПЕВТИЧЕН ЦЕНТЪР СЛЪНЧИЦЕ"" ЕООД",201800029,Пловдив,гр.Пловдив,"бул. ""Васил Априлов"" № 98, ет. 6, ап. 11",Информиране и консултиране; Терапия и рехабилитация,Всички деца; деца в риск по смисъла на Закона за закрила на детето; деца с увреждания; деца с проблемно поведение; техните семейства и близки,Л-3129-500/27.08.2021 г.; Л-3129-1149/17.03.2022 г.,26.08.2026 г.,,,,,
"""ФЕДЕ ИН МАРИЯ 2010"" ООД",204188205,Раковски,гр. Раковски,"ул. ""Гагарин"" № 7",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-504/30.08.2021 г.; Л-3129-1852/18.03.2024 г.,29.08.2026 г.,ЛПО-1-3129-504/14.03.2024,29.08.2026 г.,,,
"ФОНДАЦИЯ ""СЛЪНЦЕ ЗА ВСЕКИ""",176839148,Столична,гр.София,"р-н ""Овча купел"", ж.к. ""Овча купел"" 1, бл. 510, вх. К, ет. 3, ап. 8",Информиране и консултиране,Всички деца; деца в риск по смисъла на Закона за закрила на детето; деца и пълнолетни лица с увреждания; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; техните семейства и близки,Л-3129-505/30.08.2021 г.,29.08.2026 г.,,,,,
"СДРУЖЕНИЕ ""АСОЦИАЦИЯ НА РОДИТЕЛИ НА ДЕЦА С БЪБРЕЧНИ ЗАБОЛЯВАНИЯ""",175864928,Столична,гр.София,"район ""Средец"", ж.к. Център, ул. ""Цар Асен"" № 92-94",Информиране и консултиране; Терапия и рехабилитация,Родители на деца с урологични и бъбречни заболявания или аномалии,Л-3129-507/31.08.2021 г.; Л-3129-508/31.08.2021 г.,30.08.2026 г.,ЛПО-1-3129-507/28.05.2025 г.,30.08.2026 г.,,,
"СДРУЖЕНИЕ ""СВОБОДЕН МЛАДЕЖКИ ЦЕНТЪР""",105016461,Видин,гр. Видин,"ж.к. ""Христо Ботев"", бл. 12, вх. Б, ет. 4, ап. 8",Информиране и консултиране; Общностна работа; Застъпничество и посредничество; Терапия и рехабилитация; Осигуряване на подслон; Обучение за придобиване на умения,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства",Л-3129-510/31.08.2021 г.; Л-3129-511/31.08.2021 г.; Л-3129-512/31.08.2021 г.; Л-3129-513/31.08.2021 г.; Л-3129-514/31.08.2021 г.; Л-3129-515/31.08.2021 г.,30.08.2026 г.,,,,,
"СДРУЖЕНИЕ ""АГЕНЦИЯ ЗА СОЦИАЛНО РАЗВИТИЕ - ВИЖЪН""",103125585,Варна,гр. Варна,"район ""Приморски"", бул. ""Княз Борис I"" № 115",Дневна грижа; Застъпничество и посредничество; Информиране и консултиране; Общностна работа; Обучение за придобиване на умения; Терапия и рехабилитация; Подкрепа за придобиване на трудови умения; Резидентна грижа,Деца с трайни увреждания; пълнолетни лица с трайни увреждания,Л-3129-517/01.09.2021 г.; Л-3129-518/01.09.2021 г.; Л-3129-519/01.09.2021 г.; Л-3129-520/01.09.2021 г.; Л-3129-521/01.09.2021 г.; Л-3129-522/01.09.2021 г.; Л-3129-523/01.09.2021 г.; Л-3129-586/24.09.2021 г.; Л-3129-587/24.09.2021 г.; Л-3129-1996/04.10.2024 г.; Л-3129-2124/05.09.2025 г.,31.08.2026 г.,,,,,
"СЪБИРАТЕЛНО ДРУЖЕСТВО ""МАРГРЕТ - МАРИЯ БОРИСОВА ГЕОРГИЕВА И С-ИЕ""",121226014,Столична,гр. София,"район ""Триадица"", ж.к. ""Иван Вазов"", ул. ""Д-р Стефан Сарафов"" № 20, бл. 1, ап. 1",Информиране и консултиране; Терапия и рехабилитация; Обучение за придобиване на умения; Асистентска подкрепа,Пълнолетни лица с увреждания,Л-3129-524/02.09.2021 г.; Л-3129-525/02.09.2021 г.; Л-3129-526/02.09.2021 г.; Л-3129-527/02.09.2021 г.,01.09.2026 г.,,,,,
"СДРУЖЕНИЕ ""РУСЕНСКА КАТОЛИЧЕСКА ОРГАНИЗАЦИЯ - КАРИТАС""",827127955,Русе,гр. Русе,"ул. ""Богдан войвода"" № 3",Терапия и рехабилитация; Общностна работа; Обучение за придобиване на умения; Информиране и консултиране; Застъпничество и посредничество; Дневна грижа; Осигуряване на подслон; Резидентна грижа; Подкрепа за придобиване на трудови умения,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; деца и пълнолетни лица с увреждания; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; възрастни хора в надтрудоспособна възраст; лица, които полагат грижи за пълнолетни лица",Л-3129-534/08.09.2021 г.; Л-3129-535/08.09.2021 г.; Л-3129-536/08.09.2021 г.; Л-3129-537/08.09.2021 г.; Л-3129-538/08.09.2021 г.; Л-3129-539/08.09.2021 г.; Л-3129-540/08.09.2021 г.; Л-3129-1482/16.02.2023 г.; Л-3129-1483/16.02.2023 г.,07.09.2026 г.,,,,,
"СДРУЖЕНИЕ ""СОЦИАЛЕН ЦЕНТЪР БУРГАС""",176222809,Бургас,гр. Бургас,"ж.к. ""Братя Миладинови"", бл. 117, до вх. 11",Информиране и консултиране; Застъпничество и посредничество; Терапия и рехабилитация; Обучение за придобиване на умения; Подкрепа за придобиване на трудови умения; Общностна работа,Пълнолетни лица с трайни увреждания,Л-3129-541/08.09.2021 г.; Л-3129-542/08.09.2021 г.; Л-3129-543/08.09.2021 г.; Л-3129-544/08.09.2021 г.; Л-3129-545/08.09.2021 г.; Л-3129-2070/11.04.2025 г.,07.09.2026 г.,ЛПО-1-3129-541/11.07.2024,07.09.2026 г.,,,
"ФОНДАЦИЯ ""ФОНДАЦИЯ ЗА СОЦИАЛНА ПРОМЯНА И ВКЛЮЧВАНЕ""",175633540,Столична,гр. София,"ул. ""Аксаков"" № 11, вх. 1, ет. 2, ап. 9",Информиране и консултиране; Общностна работа; Обучение за придобиване на умения; Застъпничество и посредничество; Резидентна грижа; Терапия и рехабилитация,"Деца, техните семейства и близки от ромска общност; младежи до 25-годишна възраст, напуснали алтернативна грижа",Л-3129-547/08.09.2021 г.; Л-3129-548/08.09.2021 г.; Л-3129-549/08.09.2021 г.; Л-3129-550/08.09.2021 г.; Л-3129-551/08.09.2021 г.; Л-3129-1710/23.08.2023 г.,07.09.2026 г.,,,,,
"ФОНДАЦИЯ ""ЕКИП""",121425094,Столична,гр.София,"район ""Красна поляна"", ж.к. ""Западен парк"", бл. 75, вх. 1, ет. 1, ап. 2",Информиране и консултиране; Обучение за придобиване на умения; Терапия и рехабилитация,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; деца с увреждания; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; семействата и близките на потребителите",Л-3129-552/08.09.2021 г.; Л-3129-553/08.09.2021 г.; Л-3129-862/29.11.2021 г.,07.09.2026 г.,,,,,
"СДРУЖЕНИЕ ""ДЕТСКИ ЦЕНТЪР РОНКАЛИ""",102815467,Бургас,гр. Бургас,"кв. ""Ветрен"", вилна зона ""Минерални бани"", ул. ""11"" № 9",Резидентна грижа; Информиране и консултиране; Застъпничество и посредничество; Обучение за придобиване на умения,"Деца в риск по смисъла на Закона за закрила на детето, а ако учат - до завършване на средно образование, но не повече от 20-годишна възраст",Л-3129-554/09.09.2021 г.; Л-3129-1702/16.08.2023 г.; Л-3129-1703/16.08.2023 г.; Л-3129-1704/16.08.2023 г.,08.09.2026 г.,,,,,
"ФОНДАЦИЯ ""СИЙДЪР""",123714158,Столична,гр. София,"р-н Триадица, бул. ""България"" № 69, ет. 3",Информиране и консултиране; Терапия и рехабилитация; Обучение за придобиване на умения; Резидентна грижа; Застъпничество и посредничество; Подкрепа за придобиване на трудови умения,"Пълнолетни лица с увреждания, техните семейства и близки",Л-3129-556/10.09.2021 г.; Л-3129-558/10.09.2021 г.; Л-3129-559/10.09.2021 г.; Л-3129-560/10.09.2021 г.; Л-3129-591/27.09.2021 г.; Л-3129-592/27.09.2021 г.; Л-3129-1582/09.05.2023 г.; Л-3129-1583/09.05.2023 г.; Л-3129-1584/09.05.2023 г.; Л-3129-1585/09.05.2023 г.; Л-3129-1586/09.05.2023 г.,09.09.2026 г.,,,,,
"ФОНДАЦИЯ ""МИСИЯ КРИЛЕ""",205199768,Стара Загора,гр. Стара Загора,"ул. ""Свети Княз Борис"" № 157, ет. 5, ап. 15",Информиране и консултиране; Общностна работа; Обучение за придобиване на умения; Осигуряване на подслон; Терапия и рехабилитация; Застъпничество и посредничество,"Всички деца; деца в риск по смисъла на Закона за Закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; деца и пълнолетни лица с увреждания; лица, включително непридружени непълнолетни, търсещи международна закрила; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; техните семейства и близки",Л-3129-561/13.09.2021 г.; Л-3129-562/13.09.2021 г.; Л-3129-563/13.09.2021 г.; Л-3129-564/13.09.2021 г.; Л-3129-565/13.09.2021 г.; Л-3129-566/13.09.2021 г.,12.09.2026 г.,,,,,
"ЕТ ""ЗАФИРИС - РОСИЦА МИХАЙЛОВА""",203878392,Столична,гр. София,"район ""Кремиковци"", ж.к. ""Ботунец"", бл. 14, вх. А, ет. 1, ап. 1",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-567/13.09.2021 г.,12.09.2026 г.,,,,,
"""ДОМ ЮЛИАНА"" ЕООД",206542789,Столична,гр. София,"район ""Красно село"", ж.к. Красно село-Борово, бл. 214, вх. Г, ет. 4, ап. 64",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-568/15.09.2021 г.,14.09.2026 г.,,,,,
"НАРОДНО ЧИТАЛИЩЕ ""РАЗВИТИЕ-1869""",000210493,Дряново,гр. Дряново,"ул. ""Стефан Стамболов"" № 32",Терапия и рехабилитация; Обучение за придобиване на умения; Информиране и консултиране; Общностна работа; Застъпничество и посредничество,"Всички деца; деца в риск по смисъла на Закона за закрила на дедето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства",Л-3129-571/20.09.2021 г.; Л-3129-572/20.09.2021 г.; Л-3129-573/20.09.2021 г.; Л-3129-574/20.09.2021 г.; Л-3129-1535/23.03.2023 г.,19.09.2026 г.,,,,,
"СДРУЖЕНИЕ ""ЧОВЕКОЛЮБИЕ""",822148803,Пазарджик,гр. Пазарджик,"ул. ""Д-р Лонг"" № 12",Информиране и консултиране; Обучение за придобиване на умения; Подкрепа за придобиване на трудови умения; Застъпничество и посредничество; Общностна работа; Терапия и рехабилитация; Резидентна грижа,Пълнолетни лица с увреждания (психични разстройства); пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; техните семейства и близки,Л-3129-575/23.09.2021 г.; Л-3129-576/23.09.2021 г.; Л-3129-577/23.09.2021 г.; Л-3129-578/23.09.2021 г.; Л-3129-579/23.09.2021 г.; Л-3129-580/23.09.2021 г.; Л-3129-1833/26.02.2024 г.; Л-3129-1834/26.02.2024 г.; Л-3129-1835/26.02.2024 г.,22.09.2026 г.,,,,,
"""ЗЛАТНА ВЪЗРАСТ"" ООД",203887381,Априлци,гр. Априлци,"кв. ""Острец"", ул. ""Отдих"" № 71",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-584/24.09.2021 г.,23.09.2026 г.,,,,,
"""МИА-2004"" ЕООД",131535831,Столична,гр. София,"район ""Красно село"", ул. ""Лайош Кошут"" № 17, ап. 2",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-589/24.09.2021 г.; Л-3129-590/24.09.2021 г.,23.09.2026 г.,,,,,
"ФОНДАЦИЯ ""ФОНД ИГА""",205965124,Пазарджик,гр. Пазарджик,"ул. ""Свети Архангел"" № 2, ет. 1, ап. 1",Обучение за придобиване на умения; Информиране и консултиране; Застъпничество и посредничество; Терапия и рехабилитация; Осигуряване на подслон; Общностна работа; Подкрепа за придобиване на трудови умения; Резидентна грижа,"Пълнолетни лица и деца, пострадали от насилие и жертви на трафик",Л-3129-593/27.09.2021 г.; Л-3129-594/27.09.2021 г.; Л-3129-595/27.09.2021 г.; Л-3129-596/27.09.2021 г.; Л-3129-597/27.09.2021 г.; Л-3129-1820/20.02.2024 г.; Л-3129-1821/20.02.2024 г.; Л-3129-1822/20.02.2024 г.; Л-3129-1823/20.02.2024 г.; Л-3129-1824/20.02.2024 г.; Л-3129-1825/20.02.2024 г.; Л-3129-1826/20.02.2024 г.,26.09.2026 г.,,,,,
"ФОНДАЦИЯ ""МИЛОСЪРДИЕ""",119654513,Сливен,гр. Сливен,"кв. ""Младост"", бл. 9, вх. А, ет.2, ап. 8",Дневна грижа; Подкрепа за придобиване на трудови умения; Обучение за придобиване на умения; Терапия и рехабилитация; Общностна работа; Информиране и консултиране; Застъпничество и посредничество,Пълнолетни лица с трайни увреждания,Л-3129-598/27.09.2021 г.; Л-3129-599/27.09.2021 г.; Л-3129-600/27.09.2021 г.; Л-3129-601/27.09.2021 г.; Л-3129-602/27.09.2021 г.; Л-3129-603/27.09.2021 г.; Л-3129-1666/17.07.2023 г.,26.09.2026 г.,,,,,
"""ТРАЙЛОГ КОНСУЛТ КЕЪР"" ЕООД",206532318,Варна,гр. Варна,"район/ж.к. ""Аспарухово"", ул. ""Янтра"" № 2, ет. 3, ап. 16",Асистентска подкрепа,"Лица в надтрудоспособна възраст в невъзможност за самообслужване, които нямат определена по съответния ред степен на намалена работоспособност; пълнолетни лица с трайни увреждания с определена чужда помощ, които не ползват асистентска подкрепа, помощ за осигуряване на асистентска подкрепа или за които не се получава помощ за грижа в домашна среда по реда на друг закон",Л-3129-608/30.09.2021 г.,29.09.2026 г.,ЛПО-1-3129-608/05.08.2024 г.,29.09.2026 г.,,,
"СДРУЖЕНИЕ ""ГАВРОШ""",103034023,Варна,гр. Варна,"ж.к. ""Възраждане"", бл. 79, вх. А, ет. 1, ап. 1",Информиране и консултиране; Застъпничество и посредничество; Общностна работа; Терапия и рехабилитация; Обучение за придобиване на умения; Подкрепа за придобиване на трудови умения; Резидентна грижа,Пълнолетни лица с увреждания; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава;семейства и близки на потребителите,Л-3129-609/30.09.2021 г.; Л-3129-610/30.09.2021 г.; Л-3129-611/30.09.2021 г.; Л-3129-612/30.09.2021 г.; Л-3129-613/30.09.2021 г.; Л-3129-614/30.09.2021 г.; Л-3129-615/30.09.2021 г.; Л-3129-616/30.09.2021 г.,29.09.2026 г.,,,,,
"СДРУЖЕНИЕ ""ОТВОРИ ОЧИ""",175643666,Варна,гр. Варна,"ж.к. ""Дружба"" № 19",Терапия и рехабилитация; Резидентна грижа,Деца с проблемно поведение и/или със зависимост от психоактивни вещества; техните родители и близки,Л-3129-625/04.10.2021 г.; Л-3129-945/15.12.2021 г.,03.10.2026 г.,ЛПО-1-3129-625/14.12.2021 г.,03.10.2026 г.,,,
"СДРУЖЕНИЕ ""БЪДЕЩЕ""",112081769,Пазарджик,гр. Пазарджик,"ул. ""Марица"" № 20",Застъпничество и посредничество; Информиране и консултиране; Общностна работа; Терапия и рехабилитация; Обучение за придобиване на умения; Подкрепа за придобиване на трудови умения,Пълнолетни лица с увреждания; техните семейства и близки,Л-3129-626/05.10.2021 г.; Л-3129-627/05.10.2021 г.; Л-3129-629/05.10.2021 г.; Л-3129-648/12.10.2021 г.; Л-3129-649/12.10.2021 г.; Л-3129-1714/28.08.2023 г.,04.10.2026 г.,,,,,
"""ДОМ ЧЕРНО МОРЕ"" ООД",205167496,Варна,гр. Варна,"р-н ""Приморски"", ул. ""Д-р Любен Лазаров"" № 74",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-630/06.10.2021 г.,05.10.2026 г.,,,,,
"СДРУЖЕНИЕ ""РАЗЛИЧНИ, НО РАВНИ""",115748641,Пловдив,гр. Пловдив,"ул. ""Доспат"" № 5, ет. 9, ап. 33",Терапия и рехабилитация; Информиране и консултиране; Застъпничество и посредничество; Обучение за придобиване на умения; Подкрепа за придобиване на трудови умения; Общностна работа,Деца и пълнолетни лица с физически и умствени увреждания,Л-3129-631/06.10.2021 г.; Л-3129-669/22.10.2021 г.; Л-3129-670/22.10.2021 г.; Л-3129-671/22.10.2021 г.; Л-3129-672/22.10.2021 г.; Л-3129-1105/07.02.2022 г.,05.10.2026 г.,,,,,
"ФОНДАЦИЯ ""ЦЕНТЪР ПРОМЯНА""",175761294,Горна Оряховица,гр. Горна Оряховица,"ул. ""Иван Вазов"" № 13А",Осигуряване на подслон; Застъпничество и посредничество; Информиране и консултиране,Бездомни лица и семейства,Л-3129-633/08.10.2021 г.; Л-3129-634/08.10.2021 г.; Л-3129-635/08.10.2021 г.,07.10.2026 г.,,,,,
"""СОЦИОМЕД КОНСУЛТИНГ"" ЕООД",201152696,Столична,гр. София,"р-н Красна поляна, бл.103, вх. В, ет. 2, ап. 7",Асистентска подкрепа,"Лица в надтрудоспособна възраст в невъзможност за самообслужване, които нямат определена по съответния ред степен на намалена работоспособност",Л-3129-636/08.10.2021 г.,07.10.2026 г.,,,,,
